surveyid,survey_date,femaleres,age,married,children,edu,hh_totalmembers,asset_savings,cons_alcohol,cons_tobacco,cons_med_total,cons_ed,cons_social,cons_other,ent_income,med_portion_sickinjured,med_port_sick_child,durable_investment,depressed
379,18-Oct-61,1,26,1,2,7,4,0,0,0,0,1.0543453,2.5357668,9.9295292,2.6247411,0,0,264.50653,0
1001,28-Nov-61,1,40,0,0,7,,0,0,0,0,0,0,0,0,,,0,1
1356,01-Nov-61,1,55,0,0,6,1,2.4023056,0,4.8846879,0,0,16.495831,42.985252,9.6892986,1,,257.42926,1
137,21-Jul-60,1,34,1,3,10,5,0,0,0,10.890451,2.6558821,4.9380727,30.221003,0,1,1,249.039,0
840,07-Nov-61,1,43,1,4,4,9,8.0076847,0,0,0,12.411912,1.8684598,23.542593,8.8273602,0.22222222,0,211.7823,1
309,12-Sep-61,1,51,1,2,12,,0,0,0,0,0,0,0,0,,,0,1
1078,22-Sep-61,1,28,1,3,10,5,0,0,0,0,1.3346142,0.53384566,6.7264552,0.67842889,0.2,0,1335.1174,0
519,06-Dec-61,1,53,1,4,9,,0,0,0,0,0,0,0,0,,,0,0
1156,20-Oct-61,1,26,1,3,11,5,0,0,0,0,4.8046112,15.481524,41.639961,3.30317,0,0,320.64487,0
1324,15-Nov-61,1,23,1,2,8,,0,0,0,0,0,0,0,0,,,0,0
404,29-Nov-61,1,36,1,5,12,,0,0,0,0,0,0,0,0,,,0,0
1385,13-Sep-61,1,27,1,3,8,,0,0,0,0,0,0,0,0,,,0,0
150,14-Nov-61,1,44,0,3,8,4,2.4023056,0,0,0,21.220366,3.0696127,39.557964,5.0048032,0.25,0.33333334,103.34174,0
1237,13-Sep-61,0,40,1,5,11,9,0,0,2.9308126,206.59827,24.823824,6.0057635,289.09344,10.507862,0.33333334,0.60000002,639.93225,0
993,24-Sep-61,1,19,1,2,10,,0,0,0,0,0,0,0,0,,,0,0
810,15-Sep-60,1,27,1,3,8,5,8.0076847,0,0,0.3203074,3.203074,7.7407622,15.086478,7.2736473,0.60000002,0.33333334,1113.0479,0
823,31-Aug-61,1,31,1,2,10,4,32.030739,0,0,4.1639962,1.9018252,1.1611143,2.8026898,41.796227,0.75,1,367.86478,0
574,16-Oct-61,1,27,1,3,10,5,0,6.9781256,4.8846879,0,2.0019212,2.8694205,5.2049952,1.0409991,1,1,68.065323,0
403,04-Oct-61,1,27,1,4,8,6,11.210759,0,0,0,1.4680755,4.8046112,28.187052,33.992622,0.33333334,0.5,298.578,0
632,30-Nov-61,0,35,0,0,13,,0,0,0,0,0,0,0,0,,,0,0
1401,13-Sep-61,1,43,0,2,1,4,0,0,0,0,2.0019212,3.7369196,8.8084536,0.28694203,1,1,157.87787,1
569,12-Oct-61,1,22,1,2,10,,0,0,0,0,0,0,0,0,,,0,0
387,24-Nov-61,1,41,1,6,10,8,0,3.4890628,6.9781256,2.770659,14.680757,4.1373043,16.623955,3.0212328,0.25,0.16666667,314.63531,0
533,16-Nov-61,1,20,1,2,9,,0,0,0,0,0,0,0,0,,,0,1
122,16-Nov-61,1,18,1,2,9,3,4.0038424,0,0,0,0,2.6158438,38.67712,0.18684599,1,0.5,190.53653,0
554,01-Oct-61,1,38,1,5,9,8,0,0,0,0,20.019213,2.5357668,8.7283764,2.4108694,0.625,0.80000001,248.43657,0
222,05-Nov-61,0,24,0,2,7,,0,0,0,0,0,0,0,0,,,0,0
399,03-Sep-61,1,26,1,1,8,3,0,0,5.5825005,40.038425,0,1.3346142,8.6483002,152.50636,1,1,216.16112,0
1107,24-Oct-61,1,26,1,3,6,,0,0,0,0,0,0,0,0,,,0,1
1133,31-Oct-61,1,37,1,5,10,8,160.1537,0,0,0,12.545373,15.881909,81.838539,16.575909,0.25,0,1152.5576,1
1152,14-Sep-61,1,23,1,4,14,6,0,0,0,0,0.66730708,0.66730708,17.616907,0.17794855,0.33333334,0.25,74.292,1
156,28-Sep-61,1,28,0,4,10,5,0.14413834,0,0,0,2.6692283,3.6034582,15.695063,11.511047,0.2,0.25,895.73254,0
467,12-Oct-61,1,19,1,1,7,3,0,0,0,0,0,0.66730708,23.382441,0,1,1,246.59033,0
1010,01-Sep-61,1,35,1,3,9,5,0,0,0,0,2.0019212,2.0019212,32.030739,0.2224357,1,1,425.33453,0
588,12-Oct-61,1,53,1,3,8,,0,0,0,0,0,0,0,0,,,0,0
296,17-Nov-61,1,33,1,3,9,,0,0,0,0,0,0,0,0,,,0,0
2,11-Sep-61,1,19,1,2,6,4,0,0,0,0,0,2.6692283,42.280579,5.3384562,0.25,0.5,187.50629,0
124,12-Oct-61,1,26,1,3,10,5,0,0,0,0,0.66730708,5.3384566,3.8757195,0.27804461,0.2,0.33333334,237.02748,0
591,22-Nov-61,1,26,1,5,8,7,0,0,0,0,1.3346142,1.0676913,16.976292,8.8362579,0.71428573,0.60000002,693.02954,0
1179,15-Sep-61,1,49,0,1,14,2,19.218445,0,0,0,4.0038424,2.4690363,197.62967,6.0435777,0.5,1,192.43738,0
474,21-Nov-61,1,20,1,1,8,,0,0,0,0,0,0,0,0,,,0,0
210,25-Nov-61,0,48.099998,0,5,9,6,0,0,0,11.210759,10.009606,2.6692283,18.097368,2.1687481,0.16666667,0,298.58875,1
564,08-Aug-60,1,28,1,3,10,7,0,0,0,0,1.5614985,0.46711496,102.17806,22.868614,0.85714287,0.66666669,184.17674,0
534,24-Oct-61,1,21.299999,1,1,10,3,0,0,0,0,0,3.0696127,26.905821,0.2224357,0.66666669,1,639.2738,0
1270,05-Dec-61,1,42,1,0,9,3,128.12296,,,0,15.214602,6.2193022,57.735409,11.697893,1,,826.82971,0
303,05-Nov-61,1,46,0,0,1,1,22.421518,8.3737497,2.6516876,0,0,3.4032662,9.0486841,16.068754,0,,78.909393,0
749,27-Oct-61,1,24,1,2,9,4,0,0,0,0,2.0019212,7.7407622,45.355526,12.233964,1,1,223.70995,0
456,31-Oct-61,1,30,1,2,10,4,32.030739,0,0,0,1.8417675,4.8179574,41.736053,16.647087,0.5,1,211.06607,0
121,11-May-60,1,45,1,4,9,4,176.71359,0,0,0,0.93422991,1.5614985,22.34144,0.58945453,0.75,0.5,299.24341,0
1328,31-Oct-61,1,25,1,4,10,6,24.023054,0,,0,4.2707653,3.203074,34.11274,54.808155,1,1,379.39584,1
164,30-Nov-61,0,19,1,1,10,,0,0,0,0,0,0,0,0,,,0,1
986,21-Sep-61,1,45,1,3,8,5,0,10.467188,2.0934374,10.40999,6.6730709,2.1353827,1.9218444,0.011121784,0.40000001,0.33333334,100.89683,0
1052,13-Oct-61,1,40,0,1,5,3,0,0,0,0,3.3632276,0.46711496,14.894294,2.2243569,0,0,234.70972,0
634,25-Oct-61,0,37,0,0,12,,0,0,0,0,0,0,0,0,,,0,1
944,11-Oct-61,1,21,1,1,7,,0,0,0,0,0,0,0,0,,,0,1
277,14-Nov-61,1,30,1,6,7,8,0,0,0,0,3.203074,0.66730708,34.593201,34.610992,0.375,0.16666667,424.26816,1
685,25-Oct-61,1,25,1,1,7,3,0,0,0,10.40999,0,0.93422991,48.1422,0,1,1,311.49896,0
975,06-Nov-61,1,38,1,3,13,,0,0,0,0,0,0,0,0,,,0,0
1061,11-Nov-61,1,48,1,0,1,2,0,0,,0,0,2.3355746,2.8026898,24.129824,0.5,,87.443916,1
147,04-Jul-60,1,30,1,4,11,6,0,0,0,0,2.0553057,1.2411911,3.203074,0.26358631,0.5,0.5,31.803223,0
1306,22-Nov-61,1,26,1,5,9,7,0,0,0,0,2.5357668,2.3355746,32.911587,19.609932,0.2857143,0.2,480.05182,0
786,01-Nov-61,1,37,1,8,10,10,0,0,0,0,1.601537,16.082102,20.819981,4.8046112,0.1,0,149.22137,0
145,01-Nov-60,0,28.200001,1,1,10,3,0,0,0,1.2812296,3.203074,20.286135,36.354889,17.149794,0.33333334,0,423.733,1
943,09-Oct-61,0,30,0,2,10,3,0,0,0,0.64061481,0,1.0009606,11.531066,0.046711497,0.66666669,0.5,67.551178,0
85,12-Nov-61,0,25,1,1,8,3,0,0,0,11.210759,0,0.26692283,17.2966,0.37814072,0.33333334,0,122.51759,1
783,01-Nov-61,1,55,1,2,8,,0,0,0,0,0,0,0,0,,,0,0
10,10-Sep-61,1,38,1,5,8,7,0,,2.0934374,0,0.53384566,0.80076849,13.933372,0.15792935,0.5714286,0.40000001,46.444572,0
1186,30-Nov-61,1,43,1,5,8,,0,0,0,0,0,0,0,0,,,0,1
292,08-Nov-60,1,32,0,2,10,3,4.0038424,0,0,0,0,1.0143068,30.669434,3.4118299,0.66666669,0.5,50.153534,0
769,14-Oct-60,1,23,1,3,8,5,12.812296,0,0,0,1.2011528,1.2011528,22.581671,0.4092817,0,0,68.866096,0
1370,24-Aug-60,1,35,1,2,6,4,32.030739,0,0,0,0.88084537,3.203074,17.937214,9.1821451,0,0,1039.9473,1
261,12-Sep-61,1,22,1,3,7,6,0,0,,0,1.601537,15.267985,9.9295292,1.3357264,0.33333334,0.33333334,360.31531,0
1338,11-Oct-61,1,52,1,3,1,7,0,0,0,0,10.676913,0,7.0467629,3.6034582,0.42857143,0.33333334,604.0177,0
349,26-Oct-61,0,43,0,0,6,,0,0,0,0,0,0,0,0,,,0,1
753,14-Jul-60,1,25,1,2,10,5,3.203074,,3.9077504,0,3.2964969,1.6682677,45.884033,6.6986508,0.60000002,0.5,394.61111,0
316,19-Oct-61,1,40,0,2,10,4,25.624592,0,0,0,2.4023056,0.66730708,37.63612,65.860542,0.25,0,235.11455,0
559,01-Nov-61,1,20,1,3,10,,0,0,0,0,0,0,0,0,,,0,0
501,23-Oct-61,1,26,1,2,9,4,0,0,0,0,1.601537,1.3346142,59.25687,3.4477532,1,1,266.76971,0
186,05-Sep-61,1,32,0,3,7,5,32.030739,0,0,0,9.3556452,10.863759,24.807808,6.646934,0.60000002,0.66666669,89.686073,1
668,29-Sep-61,1,22,1,2,10,,0,0,0,0,0,0,0,0,,,0,0
933,26-Oct-61,1,27,1,2,10,,0,0,0,0,0,0,0,0,,,0,0
1404,15-Nov-61,1,22,1,1,12,3,0,0,0,0,0,1.0676913,13.933372,0.97871703,0,0,389.4938,0
1007,23-Oct-61,1,39,0,6,9,7,4.4843035,0,0,0,16.175524,3.4032662,39.718117,14.320411,0.42857143,0.5,517.92944,0
1118,03-Dec-61,1,24,1,2,4,4,1.601537,0,0,0,4.6711493,2.4690363,24.263285,0.072291598,0.5,0,226.32262,1
660,28-Oct-61,1,31,0,3,10,5,0,0,0,1.601537,6.5929937,140.13449,30.108896,531.51007,0.2,0,1629.3855,0
190,28-Nov-61,1,23,1,3,9,,0,0,0,0,0,0,0,0,,,0,0
940,22-Oct-61,1,23,1,2,8,4,0,0,0,0,0,5.1382647,34.593201,1.4680755,0.75,1,345.66568,0
394,01-Nov-61,0,42,0,3,14,4,0,2.0934374,0,18.097368,4.6177649,1.4547294,11.611143,0.65396094,0.5,0.33333334,146.72621,1
1202,30-Oct-61,1,48,1,7,4,9,0,0,8.3737497,0,3.8703811,9.3422985,59.25687,19.969164,0.55555558,0.42857143,959.2699,1
1412,09-Nov-61,0,25,1,0,10,2,0,0,0,0,0,0.80076849,4.3241501,0.48935851,0,,70.467628,0
1295,13-Sep-61,1,26,1,5,7,,0,0,0,0,0,0,0,0,,,0,0
96,19-Nov-61,1,17,1,2,9,,0,0,0,0,0,0,0,0,,,0,0
920,16-Nov-61,1,33,1,7,9,,0,0,0,0,0,0,0,0,,,0,0
643,10-Sep-61,1,19,1,3,11,7,0,0,0,0,0.93422991,17.383348,79.756546,5.0181494,0.5714286,0.33333334,2701.5017,0
223,24-Sep-61,1,45,1,6,11,,0,0,0,0,0,0,0,0,,,0,0
1068,20-Nov-61,1,57,0,0,6,,0,0,0,0,0,0,0,0,,,0,0
854,08-Oct-61,1,52,1,2,9,,0,0,0,0,0,0,0,0,,,0,0
504,18-May-60,1,28,1,4,9,6,0,,,0,4.0038424,0.26692283,22.101212,3.6034582,0.83333331,1,217.87128,1
31,28-Sep-61,1,27,1,2,18,4,0,0,0,6.406148,1.2678834,1.3346142,44.010239,8.8796329,0.5,0,478.22784,1
250,22-Oct-61,1,37,1,4,9,7,0,0,0,0,1.3346142,4.1373043,24.631639,1.0543451,0.71428573,0.5,160.08699,1
1170,24-Sep-61,1,35,1,8,10,10,0,0,0,44.042267,2.4023056,3.5367274,65.983322,6.38168,0.30000001,0.125,596.21326,0
1223,06-Sep-60,1,36,0,7,10,10,12.812296,0,0,0,3.203074,2.0019212,28.98782,4.0082912,0.5,0.5714286,740.52399,0
196,05-Sep-61,0,53,0,0,8,1,0,0,3.4890628,0,0,0.73403776,20.57975,6.6786318,1,,219.10747,0
1313,02-Nov-61,1,43,1,6,13,,0,0,0,0,0,0,0,0,,,0,1
443,30-Nov-61,1,39,1,3,10,,0,0,0,0,0,0,0,0,,,0,0
1358,25-May-60,1,26,1,5,9,7,0,11.165001,0,2.8827665,0.40038425,0.40038425,126.84173,6.3928022,0.2857143,0.2,570.56921,0
319,17-Nov-61,1,25,1,3,10,5,0,0,0,0,1.8684598,1.601537,49.199215,13.933372,0,0,33.632275,0
304,26-Nov-61,1,19,1,2,12,4,0,0,0,0,2.4023056,3.2698047,11.45099,0.3002882,0.5,1,122.59767,0
1372,23-Oct-61,1,27,1,4,10,7,4.8046112,0,0,0,0.80076849,3.0295742,41.239578,20.412922,1,1,251.68604,0
384,09-Oct-61,1,28,0,3,9,4,0,0,0,0,1.5214602,1.8684598,16.848169,3.1541381,0,0,215.36478,0
994,04-Sep-61,1,25,1,2,9,4,0,0,0,0,2.0019212,1.0276529,8.0076847,0.3558971,0.25,0.5,1145.2845,0
802,13-Sep-61,1,48,0,4,9,8,0,0,0,0,2.1353827,6.0057635,20.980135,1.0232041,0.625,0.5,65.915962,1
714,10-Sep-61,1,27,1,1,12,,0,0,0,0,0,0,0,0,,,0,0
302,08-Jun-60,1,24,1,1,10,3,0,0,0,4.8046112,0,11.34422,109.70528,2.0019212,0.66666669,1,111.55976,0
1203,09-Oct-61,1,63,1,0,1,,0,0,0,0,0,0,0,0,,,0,0
198,16-Nov-61,1,45,0,0,7,,0,0,0,0,0,0,0,0,,,0,0
313,12-Oct-61,1,18,1,2,10,3,35.233814,0,0,0,0,0.45376882,52.930798,0.96092218,0.66666669,0.5,101.77769,0
269,26-Nov-61,1,62,1,3,9,5,0,0,0,0,9.6092224,7.3403783,23.542593,4.6978421,0.2,0.33333334,709.54309,0
922,01-Sep-61,1,60,0,1,1,2,0,0,0.69781256,0,0.0653961,0.62726867,27.706591,1.5125629,0.5,1,87.334625,0
1178,22-Dec-61,1,26,1,2,8,,0,0,0,0,0,0,0,0,,,0,1
143,28-Dec-61,0,30,1,4,10,,0,0,0,0,0,0,0,0,,,0,0
512,12-Oct-61,1,32,1,6,9,,0,0,0,0,0,0,0,0,,,0,0
1060,25-Sep-61,1,69,0,1,6,2,1.601537,0,0,0,9.7426834,1.2144989,29.292112,0.40594512,1,1,59.096718,0
650,27-Nov-61,1,29,1,5,9,,0,0,0,0,0,0,0,0,,,0,0
17,27-Sep-61,0,75,0,0,4,1,0,3.4890628,5.5825005,0.032030739,0,0,0.1601537,0,1,,28.827665,0
115,17-Sep-61,1,30,1,3,13,,0,0,0,0,0,0,0,0,,,0,0
1098,28-Nov-61,0,55,0,2,12,,0,0,0,0,0,0,0,0,,,0,0
698,22-Oct-61,1,29,1,2,10,4,22.421518,0,0,15.214602,3.2564585,1.3346142,85.522079,16.453568,0.5,1,551.38824,1
1290,03-Oct-61,1,23,0,3,8,4,0,0,0,0,0,3.3365355,12.892373,0.055608924,0.25,0,299.319,0
1194,08-Oct-61,1,74,1,4,1,,0,0,0,0,0,0,0,0,,,0,1
877,23-Aug-60,1,24,1,2,14,4,0,6.280313,0,1.1210759,0,0.13346142,7.703393,0,0.5,0.5,126.52142,0
692,10-Oct-61,1,21,1,3,9,,0,0,0,0,0,0,0,0,,,0,0
1217,19-Sep-61,1,19,1,1,9,3,0,0,0,0,0,8.0076847,34.11274,26.30302,0.33333334,1,742.1001,0
798,13-Oct-61,1,46,1,2,12,,0,0,0,0,0,0,0,0,,,0,0
530,15-Oct-61,1,62,1,7,1,,0,0,0,0,0,0,0,0,,,0,0
535,09-Aug-60,1,34.400002,1,6,10,8,80.076851,0,0,0,2.0019212,36.034584,47.245342,3.8347914,0.25,0.33333334,795.97247,1
89,12-Nov-61,1,20,1,2,7,4,20.819981,0,0,0,0.80076849,3.7369196,55.813564,19.26293,0.25,0.5,223.68452,0
1158,06-Dec-61,1,34,1,3,9,,0,0,0,0,0,0,0,0,,,0,0
1371,18-Sep-61,1,27,1,5,10,,0,0,0,0,0,0,0,0,,,0,0
880,23-Nov-61,1,27,1,3,12,,0,0,0,0,0,0,0,0,,,0,0
36,04-Sep-61,1,20,1,3,10,5,0,0,0,0,0.1601537,0.13346142,14.73414,0.33365354,0.40000001,0.33333334,1564.9756,0
946,06-Nov-61,1,25,1,4,14,,0,0,0,0,0,0,0,0,,,0,0
411,22-Nov-61,1,69,1,3,7,6,16.015369,0,0,9.6092224,37.369194,17.883829,31.870586,55.186295,0.66666669,0.33333334,1043.7993,0
1090,25-Oct-61,1,48,0,5,8,8,0,0,0,0,43.641884,1.9351906,9.3689919,0.16682677,0.125,0.2,119.56744,1
1087,25-Sep-61,1,37.700001,1,7,10,9,18.257523,0,0,0,2.0019212,2.0019212,21.140289,10.354382,0.55555558,0.5714286,682.48163,0
700,03-Oct-61,1,22,1,3,9,5,0,0,0,0,0.6005764,3.0028818,8.1678391,2.0174918,0.60000002,0.66666669,304.41852,0
1395,03-Oct-61,1,19,1,1,10,3,0,0,0,0,0,8.0076847,39.557964,9.2199602,1,1,225.14241,0
98,08-Nov-61,1,40,1,4,10,6,0,3.4890628,4.1868749,0.64061481,0.006673071,0.53384566,19.538752,1.9796777,0.5,0.5,618.33807,0
1325,11-Oct-61,1,26,0,4,10,6,0,0,0,0,2.8160357,2.5357668,13.773218,2.6581063,0.66666669,0.5,295.80396,1
1187,30-Nov-61,1,27,1,2,10,,0,0,0,0,0,0,0,0,,,0,0
1273,12-Nov-61,1,35,1,1,12,3,8.0076847,0,0,17.2966,0,23.382441,30.74951,224.42871,1,1,404.60614,1
890,26-Sep-61,1,31,1,4,11,,0,0,0,0,0,0,0,0,,,0,0
1286,14-Nov-61,1,24,1,4,10,,0,0,0,0,0,0,0,0,,,0,0
759,06-Sep-61,1,29,1,3,11,6,0,0,0,0,25.624592,1.0676913,21.300442,3.434407,0.33333334,0,722.63312,0
181,31-Aug-61,1,63,1,2,10,5,0,0,0,0,0,0.13346142,6.7264552,7.7691231,0.40000001,0,650.67645,0
129,09-Aug-60,1,85,0,0,3,1,0,0,0.69781256,0,0,0,0,0,1,,0,0
341,01-Nov-61,1,43,1,4,14,7,0,0,0,0,2.0953441,3.5233815,10.233822,11.998181,0.14285715,0.25,745.04828,0
246,24-Oct-61,0,34,1,6,9,10,0,16.747499,0,12.812296,0.66730708,0.80076849,45.163342,4.9881206,0.40000001,0.33333334,440.99081,0
1394,26-Nov-61,1,52,1,6,7,10,56.053795,0,0,0.064061478,52.850719,7.7007241,51.008953,25.369904,0.1,0.16666667,515.54761,0
1402,23-Nov-61,1,48,1,0,9,,0,0,0,0,0,0,0,0,,,0,0
1267,17-Nov-61,1,20,1,6,8,8,0,0,0,0,2.3489211,1.601537,4.8846879,0.53384566,0.75,0.83333331,137.73218,0
252,31-Aug-61,1,38,0,1,1,2,0,0,0,0,2.175421,1.6549217,9.6092224,3.1674843,0.5,1,92.661629,0
871,12-Jun-60,1,32,1,2,9,4,0,0,0,0,14.934333,2.8026898,26.905821,5.9162335,1,1,424.47919,0
1080,27-Oct-61,1,25,1,3,12,,0,0,0,0,0,0,0,0,,,0,1
611,12-Oct-61,1,35,1,2,10,4,0,1.3956251,0,2.4023056,2.8026898,37.369194,57.975639,2.1909916,0.25,0.5,184.17674,0
1159,08-Nov-61,1,44,1,6,9,9,0,0,0,0,16.389061,1.0943837,24.343363,183.28256,0,0,637.11487,0
224,13-Sep-61,1,40,0,5,5,6,1.601537,0,0,0,1.601537,0.6005764,10.570145,0.19574341,0.5,0.60000002,86.061646,0
263,05-Oct-61,0,53,0,2,8,3,0,0,2.442344,0,0.57388407,0,3.3632276,1.290127,0.33333334,0,219.4951,0
151,12-Sep-61,1,47,0,8,4,12,0,0,0,0,4.8046112,2.5357668,19.378597,1.0343261,0.58333331,0.625,343.27679,0
592,29-Nov-61,1,25,1,2,10,,0,0,0,0,0,0,0,0,,,0,0
451,21-Nov-61,1,66,0,1,1,2,0,0,0,0,0,2.162075,7.2069163,1.1388708,0.5,0,57.655334,0
706,16-Oct-61,1,44,0,4,8,,0,0,0,0,0,0,0,0,,,0,0
140,10-Nov-61,1,35,1,4,14,6,0,0,0,0,3.7369196,0.26692283,12.251758,0.26692283,1,1,259.5838,0
350,17-Oct-61,1,30,1,5,10,7,0,0,0,0,5.5920334,9.7426834,19.218445,11.144028,0.14285715,0.2,1007.1271,0
273,17-Nov-61,1,21,1,2,10,4,0,0,0,3.203074,0,1.2011528,26.505438,8.5014915,0.25,0,278.43167,0
506,08-Nov-60,1,28,1,4,9,6,0,0,0,0,1.4413832,1.0009606,17.616907,1.0209799,0,0,100.57652,0
785,25-Sep-61,1,57,1,1,1,5,0,0,0,0,0,1.6682677,24.023054,23.276785,0.2,0,1239.6957,0
1037,31-Dec-61,1,47,0,1,5,2,0,0,0,0,1.1477681,1.8684598,43.401653,11.019464,1,1,887.62701,0
811,09-Aug-60,1,59,0,1,5,4,0,0,0,0,2.0019212,1.601537,17.2966,3.3587792,0.5,1,130.60536,0
981,13-Sep-61,1,22,1,3,10,5,0,0,0,0,1.1210759,0.53384566,42.921192,4.3997784,0,0,174.65207,0
27,15-Oct-61,1,29,1,4,9,6,0,0,2.9308126,0,2.8026898,5.3384566,28.98782,0.18907036,0.33333334,0.25,120.00153,0
459,26-Oct-61,1,60,0,0,1,,0,0,0,0,0,0,0,0,,,0,0
1120,26-Oct-61,0,51,0,2,8,,0,0,0,0,0,0,0,0,,,0,1
358,28-Sep-61,1,29,1,3,9,,0,0,0,0,0,0,0,0,,,0,0
1292,14-Sep-61,1,30,1,6,9,8,0,0,0,0,2.6024976,2.1086905,5.8456101,0.48824638,0.75,0.66666669,417.46924,0
1043,22-Oct-61,1,76,0,5,1,7,0,0,0,0,9.7426834,1.0409991,98.686707,4.0705733,0.85714287,0.80000001,543.10773,0
1345,22-Nov-61,1,21,1,2,10,,0,0,0,0,0,0,0,0,,,0,0
1365,28-Sep-61,1,28,1,4,10,,0,0,0,0,0,0,0,0,,,0,0
781,27-Sep-61,1,19,1,2,9,,0,0,0,0,0,0,0,0,,,0,0
344,28-Sep-61,0,38,1,5,10,,0,0,0,0,0,0,0,0,,,0,0
833,13-Oct-61,1,27,1,3,10,5,0,0,0,0,0,1.6682677,106.02175,38.355034,0.80000001,0.66666669,188.81296,0
691,21-Sep-61,1,26,1,1,8,3,0,0,0,21.62075,0,18.497753,57.495178,9.3467474,1,1,196.5677,0
596,04-Oct-60,1,40,0,1,9,2,16.015369,0,0,0,1.3479602,11.210759,22.261364,133.39468,0.5,1,537.92639,0
1017,27-Sep-61,1,23,1,2,9,,0,0,0,0,0,0,0,0,,,0,0
1287,12-Nov-61,1,26,1,2,13,4,32.030739,0,0,30.429203,4.8046112,21.433905,26.841761,12.985796,0.75,1,758.28381,1
1055,13-Dec-61,1,27,1,3,13,,0,0,0,0,0,0,0,0,,,0,1
1100,12-Oct-61,1,26,1,2,6,4,0,0,0,0,1.601537,25.624592,49.487492,1.2678834,0.5,0.5,441.99371,0
1130,06-Sep-61,1,35,0,0,9,1,16.015369,0,0,0,0,3.3365355,12.652143,9.1031809,1,,367.23309,0
377,23-Nov-61,1,51,1,4,10,,0,0,0,0,0,0,0,0,,,0,0
163,18-Oct-61,1,20,1,2,9,4,0,0,0,0,0,0,2.4023056,0.4448714,0,0,70.847046,0
1056,22-Nov-61,1,72,0,5,5,9,0,0,0,0,0.42707652,0.70067245,9.4490681,2.0019212,0,0,259.76105,0
194,07-Nov-61,1,23.799999,1,2,9,4,24.023054,0,0,0,1.1077297,1.7349985,46.925034,6.9177504,0.5,1,365.64807,0
183,18-Dec-61,1,33,0,3,12,4,0,0,0,0,3.0028818,1.508114,19.298521,3.8236697,0.75,0.66666669,349.599,0
1414,08-Aug-60,1,28,1,2,8,4,0,0,0,9.6092224,1.7349985,8.0076847,86.64315,7.7407622,0.25,0,340.22559,0
1073,19-Oct-61,1,49,1,4,11,8,9.6092224,0,0,0,10.676913,1.8684598,16.655985,6.3138371,0.625,0.5,690.09406,0
587,06-Sep-61,1,59,1,6,12,8,0,0,0,52.850719,6.6730709,28.961128,21.220366,15.365858,0.75,0.66666669,819.49933,0
832,04-Oct-61,1,20,1,3,10,5,0,0,0,0,1.2011528,0,32.671356,10.476722,0.2,0.33333334,2257.7571,0
520,11-Oct-61,1,40,1,5,9,,0,0,0,0,0,0,0,0,,,0,0
14,09-Nov-61,1,31,1,4,9,6,0,0,10.467188,0,9.1821451,4.0038424,41.880192,2.8471768,0.66666669,0.5,191.88956,0
353,21-Nov-61,1,38,0,3,10,,0,0,0,0,0,0,0,0,,,0,0
